X,Y,Z,Norm,R_Cell
-12.83,-1.15,-10.61,10.777,1
-10.83,-1.15,-10.61,10.684,1
-8.83,-1.15,-10.61,10.961,1
-13.83,0.58,-10.61,10.916,1
-11.83,0.58,-10.61,10.638,1
-9.83,0.58,-10.61,10.731,1
-12.83,2.31,-10.61,10.962,1
-10.83,2.31,-10.61,10.87,1
-12.83,-5.77,-8.98,10.779,1
-10.83,-5.77,-8.98,10.686,1
-8.83,-5.77,-8.98,10.963,1
-15.83,-4.04,-8.98,10.826,1
-13.83,-4.04,-8.98,10.159,1
-11.83,-4.04,-8.98,9.86,1
-9.83,-4.04,-8.98,9.961,1
-7.83,-4.04,-8.98,10.45,1
-16.83,-2.31,-8.98,10.781,1
-14.83,-2.31,-8.98,9.911,1
-12.83,-2.31,-8.98,9.393,1
-10.83,-2.31,-8.98,9.286,1
-8.83,-2.31,-8.98,9.603,1
-6.83,-2.31,-8.98,10.307,1
-15.83,-0.58,-8.98,10.061,1
-13.83,-0.58,-8.98,9.34,1
-11.83,-0.58,-8.98,9.013,1
-9.83,-0.58,-8.98,9.123,1
-7.83,-0.58,-8.98,9.655,1
-5.83,-0.58,-8.98,10.546,1
-16.83,1.15,-8.98,10.593,1
-14.83,1.15,-8.98,9.706,1
-12.83,1.15,-8.98,9.177,1
-10.83,1.15,-8.98,9.067,1
-8.83,1.15,-8.98,9.392,1
-6.83,1.15,-8.98,10.11,1
-15.83,2.89,-8.98,10.452,1
-13.83,2.89,-8.98,9.759,1
-11.83,2.89,-8.98,9.447,1
-9.83,2.89,-8.98,9.552,1
-7.83,2.89,-8.98,10.062,1
-5.83,2.89,-8.98,10.92,1
-14.83,4.62,-8.98,10.688,1
-12.83,4.62,-8.98,10.21,1
-10.83,4.62,-8.98,10.111,1
-8.83,4.62,-8.98,10.404,1
-10.83,-8.08,-7.35,10.934,1
-15.83,-6.35,-7.35,10.705,1
-13.83,-6.35,-7.35,10.03,1
-11.83,-6.35,-7.35,9.726,1
-9.83,-6.35,-7.35,9.828,1
-7.83,-6.35,-7.35,10.324,1
-16.83,-4.62,-7.35,10.277,1
