X,Y,Z,Norm,R_Cell
-3.62,-2.89,-2.45,3.822,1
-6.62,-1.15,-2.45,3.684,1
-4.62,-1.15,-2.45,2.752,1
-2.62,-1.15,-2.45,3.094,1
-5.62,0.58,-2.45,2.931,1
-3.62,0.58,-2.45,2.567,1
-1.62,0.58,-2.45,3.548,1
-4.62,2.31,-2.45,3.404,1
-2.62,2.31,-2.45,3.686,1
-6.62,-2.31,-0.82,3.501,1
-4.62,-2.31,-0.82,2.502,1
-2.62,-2.31,-0.82,2.874,1
-7.62,-0.58,-0.82,3.641,1
-5.62,-0.58,-0.82,1.805,1
-3.62,-0.58,-0.82,1.122,1
-1.62,-0.58,-0.82,2.694,1
-6.62,1.15,-0.82,2.871,1
-4.62,1.15,-0.82,1.498,1
-2.62,1.15,-0.82,2.06,1
-0.62,1.15,-0.82,3.774,1
-5.62,2.89,-0.82,3.358,1
-3.62,2.89,-0.82,3.045,1
-1.62,2.89,-0.82,3.908,1
-5.62,-2.89,0.82,3.358,1
-3.62,-2.89,0.82,3.045,1
-1.62,-2.89,0.82,3.908,1
-6.62,-1.15,0.82,2.871,1
-4.62,-1.15,0.82,1.498,1
-2.62,-1.15,0.82,2.06,1
-0.62,-1.15,0.82,3.774,1
-7.62,0.58,0.82,3.641,1
-5.62,0.58,0.82,1.805,1
-3.62,0.58,0.82,1.122,1
-1.62,0.58,0.82,2.694,1
-6.62,2.31,0.82,3.501,1
-4.62,2.31,0.82,2.502,1
-2.62,2.31,0.82,2.874,1
-4.62,-2.31,2.45,3.404,1
-2.62,-2.31,2.45,3.686,1
-5.62,-0.58,2.45,2.931,1
-3.62,-0.58,2.45,2.567,1
-1.62,-0.58,2.45,3.548,1
-6.62,1.15,2.45,3.684,1
-4.62,1.15,2.45,2.752,1
-2.62,1.15,2.45,3.094,1
-3.62,2.89,2.45,3.822,1
4.62,-2.89,-2.45,3.822,1
1.62,-1.15,-2.45,3.684,1
3.62,-1.15,-2.45,2.752,1
5.62,-1.15,-2.45,3.094,1
2.62,0.58,-2.45,2.931,1
4.62,0.58,-2.45,2.567,1
6.62,0.58,-2.45,3.548,1
3.62,2.31,-2.45,3.404,1
5.62,2.31,-2.45,3.686,1
1.62,-2.31,-0.82,3.501,1
3.62,-2.31,-0.82,2.502,1
5.62,-2.31,-0.82,2.874,1
0.62,-0.58,-0.82,3.641,1
2.62,-0.58,-0.82,1.805,1
4.62,-0.58,-0.82,1.122,1
6.62,-0.58,-0.82,2.694,1
1.62,1.15,-0.82,2.871,1
3.62,1.15,-0.82,1.498,1
5.62,1.15,-0.82,2.06,1
7.62,1.15,-0.82,3.774,1
2.62,2.89,-0.82,3.358,1
4.62,2.89,-0.82,3.045,1
6.62,2.89,-0.82,3.908,1
2.62,-2.89,0.82,3.358,1
4.62,-2.89,0.82,3.045,1
6.62,-2.89,0.82,3.908,1
1.62,-1.15,0.82,2.871,1
3.62,-1.15,0.82,1.498,1
5.62,-1.15,0.82,2.06,1
7.62,-1.15,0.82,3.774,1
0.62,0.58,0.82,3.641,1
2.62,0.58,0.82,1.805,1
4.62,0.58,0.82,1.122,1
6.62,0.58,0.82,2.694,1
1.62,2.31,0.82,3.501,1
3.62,2.31,0.82,2.502,1
5.62,2.31,0.82,2.874,1
3.62,-2.31,2.45,3.404,1
5.62,-2.31,2.45,3.686,1
2.62,-0.58,2.45,2.931,1
4.62,-0.58,2.45,2.567,1
6.62,-0.58,2.45,3.548,1
1.62,1.15,2.45,3.684,1
3.62,1.15,2.45,2.752,1
5.62,1.15,2.45,3.094,1
4.62,2.89,2.45,3.822,1
