X,Y,Z,R_Cell
-1.5,-1.15,-10.61,1
0.5,-1.15,-10.61,1
2.5,-1.15,-10.61,1
-2.5,0.58,-10.61,1
-0.5,0.58,-10.61,1
1.5,0.58,-10.61,1
-1.5,2.31,-10.61,1
0.5,2.31,-10.61,1
-1.5,-5.77,-8.98,1
0.5,-5.77,-8.98,1
2.5,-5.77,-8.98,1
-4.5,-4.04,-8.98,1
-2.5,-4.04,-8.98,1
-0.5,-4.04,-8.98,1
1.5,-4.04,-8.98,1
3.5,-4.04,-8.98,1
-5.5,-2.31,-8.98,1
-3.5,-2.31,-8.98,1
-1.5,-2.31,-8.98,1
0.5,-2.31,-8.98,1
2.5,-2.31,-8.98,1
4.5,-2.31,-8.98,1
-4.5,-0.58,-8.98,1
-2.5,-0.58,-8.98,1
-0.5,-0.58,-8.98,1
1.5,-0.58,-8.98,1
3.5,-0.58,-8.98,1
5.5,-0.58,-8.98,1
-5.5,1.15,-8.98,1
-3.5,1.15,-8.98,1
-1.5,1.15,-8.98,1
0.5,1.15,-8.98,1
2.5,1.15,-8.98,1
4.5,1.15,-8.98,1
-4.5,2.89,-8.98,1
-2.5,2.89,-8.98,1
-0.5,2.89,-8.98,1
1.5,2.89,-8.98,1
3.5,2.89,-8.98,1
5.5,2.89,-8.98,1
-3.5,4.62,-8.98,1
-1.5,4.62,-8.98,1
0.5,4.62,-8.98,1
2.5,4.62,-8.98,1
0.5,-8.08,-7.35,1
-4.5,-6.35,-7.35,1
-2.5,-6.35,-7.35,1
-0.5,-6.35,-7.35,1
1.5,-6.35,-7.35,1
3.5,-6.35,-7.35,1
-5.5,-4.62,-7.35,1
-3.5,-4.62,-7.35,1
-1.5,-4.62,-7.35,1
0.5,-4.62,-7.35,1
2.5,-4.62,-7.35,1
4.5,-4.62,-7.35,1
6.5,-4.62,-7.35,1
-6.5,-2.89,-7.35,1
-4.5,-2.89,-7.35,1
-2.5,-2.89,-7.35,1
-0.5,-2.89,-7.35,1
1.5,-2.89,-7.35,1
3.5,-2.89,-7.35,1
5.5,-2.89,-7.35,1
7.5,-2.89,-7.35,1
-7.5,-1.15,-7.35,1
-5.5,-1.15,-7.35,1
-3.5,-1.15,-7.35,1
-1.5,-1.15,-7.35,1
0.5,-1.15,-7.35,1
2.5,-1.15,-7.35,1
4.5,-1.15,-7.35,1
6.5,-1.15,-7.35,1
-6.5,0.58,-7.35,1
-4.5,0.58,-7.35,1
-2.5,0.58,-7.35,1
-0.5,0.58,-7.35,1
1.5,0.58,-7.35,1
3.5,0.58,-7.35,1
5.5,0.58,-7.35,1
7.5,0.58,-7.35,1
-7.5,2.31,-7.35,1
-5.5,2.31,-7.35,1
-3.5,2.31,-7.35,1
-1.5,2.31,-7.35,1
0.5,2.31,-7.35,1
2.5,2.31,-7.35,1
4.5,2.31,-7.35,1
6.5,2.31,-7.35,1
-6.5,4.04,-7.35,1
-4.5,4.04,-7.35,1
-2.5,4.04,-7.35,1
-0.5,4.04,-7.35,1
1.5,4.04,-7.35,1
3.5,4.04,-7.35,1
5.5,4.04,-7.35,1
-5.5,5.77,-7.35,1
-3.5,5.77,-7.35,1
-1.5,5.77,-7.35,1
0.5,5.77,-7.35,1
2.5,5.77,-7.35,1
4.5,5.77,-7.35,1
-2.5,7.51,-7.35,1
-0.5,7.51,-7.35,1
1.5,7.51,-7.35,1
-1.5,-9.24,-5.72,1
0.5,-9.24,-5.72,1
-4.5,-7.51,-5.72,1
-2.5,-7.51,-5.72,1
-0.5,-7.51,-5.72,1
1.5,-7.51,-5.72,1
3.5,-7.51,-5.72,1
5.5,-7.51,-5.72,1
-5.5,-5.77,-5.72,1
-3.5,-5.77,-5.72,1
-1.5,-5.77,-5.72,1
0.5,-5.77,-5.72,1
2.5,-5.77,-5.72,1
4.5,-5.77,-5.72,1
6.5,-5.77,-5.72,1
-6.5,-4.04,-5.72,1
-4.5,-4.04,-5.72,1
-2.5,-4.04,-5.72,1
-0.5,-4.04,-5.72,1
1.5,-4.04,-5.72,1
3.5,-4.04,-5.72,1
5.5,-4.04,-5.72,1
7.5,-4.04,-5.72,1
-7.5,-2.31,-5.72,1
-5.5,-2.31,-5.72,1
-3.5,-2.31,-5.72,1
-1.5,-2.31,-5.72,1
0.5,-2.31,-5.72,1
2.5,-2.31,-5.72,1
4.5,-2.31,-5.72,1
6.5,-2.31,-5.72,1
8.5,-2.31,-5.72,1
-8.5,-0.58,-5.72,1
-6.5,-0.58,-5.72,1
-4.5,-0.58,-5.72,1
-2.5,-0.58,-5.72,1
-0.5,-0.58,-5.72,1
1.5,-0.58,-5.72,1
3.5,-0.58,-5.72,1
5.5,-0.58,-5.72,1
7.5,-0.58,-5.72,1
-7.5,1.15,-5.72,1
-5.5,1.15,-5.72,1
-3.5,1.15,-5.72,1
-1.5,1.15,-5.72,1
0.5,1.15,-5.72,1
2.5,1.15,-5.72,1
4.5,1.15,-5.72,1
6.5,1.15,-5.72,1
8.5,1.15,-5.72,1
-8.5,2.89,-5.72,1
-6.5,2.89,-5.72,1
-4.5,2.89,-5.72,1
-2.5,2.89,-5.72,1
-0.5,2.89,-5.72,1
1.5,2.89,-5.72,1
3.5,2.89,-5.72,1
5.5,2.89,-5.72,1
7.5,2.89,-5.72,1
-7.5,4.62,-5.72,1
-5.5,4.62,-5.72,1
-3.5,4.62,-5.72,1
-1.5,4.62,-5.72,1
0.5,4.62,-5.72,1
2.5,4.62,-5.72,1
4.5,4.62,-5.72,1
6.5,4.62,-5.72,1
-6.5,6.35,-5.72,1
-4.5,6.35,-5.72,1
-2.5,6.35,-5.72,1
-0.5,6.35,-5.72,1
1.5,6.35,-5.72,1
3.5,6.35,-5.72,1
5.5,6.35,-5.72,1
-3.5,8.08,-5.72,1
-1.5,8.08,-5.72,1
0.5,8.08,-5.72,1
2.5,8.08,-5.72,1
4.5,8.08,-5.72,1
-2.5,-9.81,-4.08,1
-0.5,-9.81,-4.08,1
1.5,-9.81,-4.08,1
-5.5,-8.08,-4.08,1
-3.5,-8.08,-4.08,1
-1.5,-8.08,-4.08,1
0.5,-8.08,-4.08,1
2.5,-8.08,-4.08,1
4.5,-8.08,-4.08,1
-6.5,-6.35,-4.08,1
-4.5,-6.35,-4.08,1
-2.5,-6.35,-4.08,1
-0.5,-6.35,-4.08,1
1.5,-6.35,-4.08,1
3.5,-6.35,-4.08,1
5.5,-6.35,-4.08,1
7.5,-6.35,-4.08,1
-7.5,-4.62,-4.08,1
-5.5,-4.62,-4.08,1
-3.5,-4.62,-4.08,1
-1.5,-4.62,-4.08,1
0.5,-4.62,-4.08,1
2.5,-4.62,-4.08,1
4.5,-4.62,-4.08,1
6.5,-4.62,-4.08,1
8.5,-4.62,-4.08,1
-8.5,-2.89,-4.08,1
-6.5,-2.89,-4.08,1
-4.5,-2.89,-4.08,1
-2.5,-2.89,-4.08,1
-0.5,-2.89,-4.08,1
1.5,-2.89,-4.08,1
3.5,-2.89,-4.08,1
5.5,-2.89,-4.08,1
7.5,-2.89,-4.08,1
9.5,-2.89,-4.08,1
-9.5,-1.15,-4.08,1
-7.5,-1.15,-4.08,1
-5.5,-1.15,-4.08,1
-3.5,-1.15,-4.08,1
-1.5,-1.15,-4.08,1
0.5,-1.15,-4.08,1
2.5,-1.15,-4.08,1
4.5,-1.15,-4.08,1
6.5,-1.15,-4.08,1
8.5,-1.15,-4.08,1
-8.5,0.58,-4.08,1
-6.5,0.58,-4.08,1
-4.5,0.58,-4.08,1
-2.5,0.58,-4.08,1
-0.5,0.58,-4.08,1
1.5,0.58,-4.08,1
3.5,0.58,-4.08,1
5.5,0.58,-4.08,1
7.5,0.58,-4.08,1
9.5,0.58,-4.08,1
-9.5,2.31,-4.08,1
-7.5,2.31,-4.08,1
-5.5,2.31,-4.08,1
-3.5,2.31,-4.08,1
-1.5,2.31,-4.08,1
0.5,2.31,-4.08,1
