X,Y,Z,Norm,R_Cell
-6.65,-1.15,-4.08,4.497,1
-4.65,-1.15,-4.08,4.268,1
-2.65,-1.15,-4.08,4.921,1
-7.65,0.58,-4.08,4.82,1
-5.65,0.58,-4.08,4.151,1
-3.65,0.58,-4.08,4.386,1
-6.65,2.31,-4.08,4.923,1
-4.65,2.31,-4.08,4.715,1
-5.65,-4.04,-2.45,4.751,1
-3.65,-4.04,-2.45,4.957,1
-8.65,-2.31,-2.45,4.857,1
-6.65,-2.31,-2.45,3.686,1
-4.65,-2.31,-2.45,3.404,1
-2.65,-2.31,-2.45,4.194,1
-7.65,-0.58,-2.45,3.548,1
-5.65,-0.58,-2.45,2.567,1
-3.65,-0.58,-2.45,2.931,1
-1.65,-0.58,-2.45,4.311,1
-8.65,1.15,-2.45,4.424,1
-6.65,1.15,-2.45,3.094,1
-4.65,1.15,-2.45,2.752,1
-2.65,1.15,-2.45,3.684,1
-7.65,2.89,-2.45,4.539,1
-5.65,2.89,-2.45,3.822,1
-3.65,2.89,-2.45,4.075,1
-6.65,-4.62,-0.82,4.926,1
-4.65,-4.62,-0.82,4.719,1
-7.65,-2.89,-0.82,3.908,1
-5.65,-2.89,-0.82,3.045,1
-3.65,-2.89,-0.82,3.358,1
-1.65,-2.89,-0.82,4.612,1
-8.65,-1.15,-0.82,3.774,1
-6.65,-1.15,-0.82,2.06,1
-4.65,-1.15,-0.82,1.498,1
-2.65,-1.15,-0.82,2.871,1
-0.65,-1.15,-0.82,4.716,1
-9.65,0.58,-0.82,4.611,1
-7.65,0.58,-0.82,2.694,1
-5.65,0.58,-0.82,1.122,1
-3.65,0.58,-0.82,1.805,1
-1.65,0.58,-0.82,3.641,1
-8.65,2.31,-0.82,4.273,1
-6.65,2.31,-0.82,2.874,1
-4.65,2.31,-0.82,2.502,1
-2.65,2.31,-0.82,3.501,1
-7.65,4.04,-0.82,4.821,1
-5.65,4.04,-0.82,4.153,1
-3.65,4.04,-0.82,4.387,1
-7.65,-4.04,0.82,4.821,1
-5.65,-4.04,0.82,4.153,1
-3.65,-4.04,0.82,4.387,1
-8.65,-2.31,0.82,4.273,1
-6.65,-2.31,0.82,2.874,1
-4.65,-2.31,0.82,2.502,1
-2.65,-2.31,0.82,3.501,1
-9.65,-0.58,0.82,4.611,1
-7.65,-0.58,0.82,2.694,1
-5.65,-0.58,0.82,1.122,1
-3.65,-0.58,0.82,1.805,1
-1.65,-0.58,0.82,3.641,1
-8.65,1.15,0.82,3.774,1
-6.65,1.15,0.82,2.06,1
-4.65,1.15,0.82,1.498,1
-2.65,1.15,0.82,2.871,1
-0.65,1.15,0.82,4.716,1
-7.65,2.89,0.82,3.908,1
-5.65,2.89,0.82,3.045,1
-3.65,2.89,0.82,3.358,1
-1.65,2.89,0.82,4.612,1
-6.65,4.62,0.82,4.926,1
-4.65,4.62,0.82,4.719,1
-7.65,-2.89,2.45,4.539,1
-5.65,-2.89,2.45,3.822,1
-3.65,-2.89,2.45,4.075,1
-8.65,-1.15,2.45,4.424,1
-6.65,-1.15,2.45,3.094,1
-4.65,-1.15,2.45,2.752,1
-2.65,-1.15,2.45,3.684,1
-7.65,0.58,2.45,3.548,1
-5.65,0.58,2.45,2.567,1
-3.65,0.58,2.45,2.931,1
-1.65,0.58,2.45,4.311,1
-8.65,2.31,2.45,4.857,1
-6.65,2.31,2.45,3.686,1
-4.65,2.31,2.45,3.404,1
-2.65,2.31,2.45,4.194,1
-5.65,4.04,2.45,4.751,1
-3.65,4.04,2.45,4.957,1
-6.65,-2.31,4.08,4.923,1
-4.65,-2.31,4.08,4.715,1
-7.65,-0.58,4.08,4.82,1
-5.65,-0.58,4.08,4.151,1
-3.65,-0.58,4.08,4.386,1
-6.65,1.15,4.08,4.497,1
-4.65,1.15,4.08,4.268,1
-2.65,1.15,4.08,4.921,1
3.65,-1.15,-4.08,4.497,1
5.65,-1.15,-4.08,4.268,1
7.65,-1.15,-4.08,4.921,1
2.65,0.58,-4.08,4.82,1
4.65,0.58,-4.08,4.151,1
6.65,0.58,-4.08,4.386,1
3.65,2.31,-4.08,4.923,1
5.65,2.31,-4.08,4.715,1
4.65,-4.04,-2.45,4.751,1
6.65,-4.04,-2.45,4.957,1
1.65,-2.31,-2.45,4.857,1
3.65,-2.31,-2.45,3.686,1
5.65,-2.31,-2.45,3.404,1
7.65,-2.31,-2.45,4.194,1
2.65,-0.58,-2.45,3.548,1
4.65,-0.58,-2.45,2.567,1
6.65,-0.58,-2.45,2.931,1
8.65,-0.58,-2.45,4.311,1
1.65,1.15,-2.45,4.424,1
3.65,1.15,-2.45,3.094,1
5.65,1.15,-2.45,2.752,1
7.65,1.15,-2.45,3.684,1
2.65,2.89,-2.45,4.539,1
4.65,2.89,-2.45,3.822,1
6.65,2.89,-2.45,4.075,1
3.65,-4.62,-0.82,4.926,1
5.65,-4.62,-0.82,4.719,1
2.65,-2.89,-0.82,3.908,1
4.65,-2.89,-0.82,3.045,1
6.65,-2.89,-0.82,3.358,1
8.65,-2.89,-0.82,4.612,1
1.65,-1.15,-0.82,3.774,1
3.65,-1.15,-0.82,2.06,1
5.65,-1.15,-0.82,1.498,1
7.65,-1.15,-0.82,2.871,1
9.65,-1.15,-0.82,4.716,1
0.65,0.58,-0.82,4.611,1
2.65,0.58,-0.82,2.694,1
4.65,0.58,-0.82,1.122,1
6.65,0.58,-0.82,1.805,1
8.65,0.58,-0.82,3.641,1
1.65,2.31,-0.82,4.273,1
3.65,2.31,-0.82,2.874,1
5.65,2.31,-0.82,2.502,1
7.65,2.31,-0.82,3.501,1
2.65,4.04,-0.82,4.821,1
4.65,4.04,-0.82,4.153,1
6.65,4.04,-0.82,4.387,1
2.65,-4.04,0.82,4.821,1
4.65,-4.04,0.82,4.153,1
6.65,-4.04,0.82,4.387,1
1.65,-2.31,0.82,4.273,1
3.65,-2.31,0.82,2.874,1
5.65,-2.31,0.82,2.502,1
7.65,-2.31,0.82,3.501,1
0.65,-0.58,0.82,4.611,1
2.65,-0.58,0.82,2.694,1
4.65,-0.58,0.82,1.122,1
6.65,-0.58,0.82,1.805,1
8.65,-0.58,0.82,3.641,1
1.65,1.15,0.82,3.774,1
3.65,1.15,0.82,2.06,1
5.65,1.15,0.82,1.498,1
7.65,1.15,0.82,2.871,1
9.65,1.15,0.82,4.716,1
2.65,2.89,0.82,3.908,1
4.65,2.89,0.82,3.045,1
6.65,2.89,0.82,3.358,1
8.65,2.89,0.82,4.612,1
3.65,4.62,0.82,4.926,1
5.65,4.62,0.82,4.719,1
2.65,-2.89,2.45,4.539,1
4.65,-2.89,2.45,3.822,1
6.65,-2.89,2.45,4.075,1
1.65,-1.15,2.45,4.424,1
3.65,-1.15,2.45,3.094,1
5.65,-1.15,2.45,2.752,1
7.65,-1.15,2.45,3.684,1
2.65,0.58,2.45,3.548,1
4.65,0.58,2.45,2.567,1
6.65,0.58,2.45,2.931,1
8.65,0.58,2.45,4.311,1
1.65,2.31,2.45,4.857,1
3.65,2.31,2.45,3.686,1
5.65,2.31,2.45,3.404,1
7.65,2.31,2.45,4.194,1
4.65,4.04,2.45,4.751,1
6.65,4.04,2.45,4.957,1
3.65,-2.31,4.08,4.923,1
5.65,-2.31,4.08,4.715,1
2.65,-0.58,4.08,4.82,1
4.65,-0.58,4.08,4.151,1
6.65,-0.58,4.08,4.386,1
3.65,1.15,4.08,4.497,1
5.65,1.15,4.08,4.268,1
7.65,1.15,4.08,4.921,1
