X,Y,Z,Norm,R_Cell
-11.8,-2.89,-8.98,9.552,1
-9.8,-2.89,-8.98,9.447,1
-7.8,-2.89,-8.98,9.759,1
-12.8,-1.15,-8.98,9.392,1
-10.8,-1.15,-8.98,9.067,1
-8.8,-1.15,-8.98,9.177,1
-6.8,-1.15,-8.98,9.706,1
-13.8,0.58,-8.98,9.655,1
-11.8,0.58,-8.98,9.123,1
-9.8,0.58,-8.98,9.013,1
-7.8,0.58,-8.98,9.34,1
-12.8,2.31,-8.98,9.603,1
-10.8,2.31,-8.98,9.286,1
-8.8,2.31,-8.98,9.393,1
-6.8,2.31,-8.98,9.911,1
-11.8,4.04,-8.98,9.961,1
-9.8,4.04,-8.98,9.86,1
-12.8,-5.77,-7.35,9.673,1
-10.8,-5.77,-7.35,9.358,1
-8.8,-5.77,-7.35,9.464,1
-6.8,-5.77,-7.35,9.978,1
-13.8,-4.04,-7.35,9.088,1
-11.8,-4.04,-7.35,8.52,1
-9.8,-4.04,-7.35,8.402,1
-7.8,-4.04,-7.35,8.752,1
-5.8,-4.04,-7.35,9.518,1
-14.8,-2.31,-7.35,8.922,1
-12.8,-2.31,-7.35,8.1,1
-10.8,-2.31,-7.35,7.721,1
-8.8,-2.31,-7.35,7.849,1
-6.8,-2.31,-7.35,8.462,1
-4.8,-2.31,-7.35,9.466,1
-15.8,-0.58,-7.35,9.198,1
-13.8,-0.58,-7.35,8.161,1
-11.8,-0.58,-7.35,7.524,1
-9.8,-0.58,-7.35,7.39,1
-7.8,-0.58,-7.35,7.785,1
-5.8,-0.58,-7.35,8.638,1
-3.8,-0.58,-7.35,9.829,1
-16.8,1.15,-7.35,9.879,1
-14.8,1.15,-7.35,8.695,1
-12.8,1.15,-7.35,7.848,1
-10.8,1.15,-7.35,7.456,1
-8.8,1.15,-7.35,7.589,1
-6.8,1.15,-7.35,8.222,1
-4.8,1.15,-7.35,9.252,1
-15.8,2.89,-7.35,9.624,1
-13.8,2.89,-7.35,8.639,1
-11.8,2.89,-7.35,8.039,1
